"StandID","DWVol_m3perHa_T2_SpruceConif","MeanDecaySwe_T2","MeanDbasal_T2","AgeT2","SprucevolMax100m_2013_m3ha","conn_20km_a2_stand_2009","conn_20km_a1_stand_2009","conn_20km_a02_stand_2009","conn_20km_a01_stand_2009","PrecSum","Temp"
140,5.26716084150956,1.0625,11.40625,10,256,348.338968023201,924.039966807822,19673.7878291855,57446.3706167852,430.94454,3.91753
183,0.955324364493781,2.16666666666667,7.60555555555556,18,63,67.699407163717,418.194082415766,21548.257071611,61417.0304840086,423.15868,5.04581
186,1.27785945852134,3,14.18,20,106,158.626820393198,654.117636276228,11128.88100701,25521.2039243745,422.20792,5.18654
196,4.24011407831486,2.8,14.18,18,113,129.422906499542,643.578274675043,20686.7504645854,56426.0073523622,421.29222,4.65157
198,5.2558050855442,2.65,11.105,18,110,773.498617092955,2798.74629127256,55366.8046365104,136729.003020459,442.06528,3.97166
201,3.71680807621152,2.1864406779661,7.51016949152542,18,67,124.802401128929,787.811764089866,17541.9019520593,43194.7791211869,403.64989,4.82614
203,3.52971991122902,1.86666666666667,9.17,18,196,34.8026647258409,245.701369322953,12653.5113711926,37755.8934135726,409.93761,4.55169
215,0.474012335302966,2.16666666666667,8.66666666666667,18,110,540.231660281929,2920.65463823897,70691.6053104286,171011.033019292,463.36101,4.14007
226,2.31217863126804,2.42857142857143,8.72380952380952,19,27,135.515604620532,723.026338850452,32710.9082654801,91685.6830121807,443.35405,3.80139
234,0.974092640929533,2.22222222222222,9.06666666666667,17,70,291.138864670131,1725.271284497,47888.7600526604,126082.617279577,403.42534,3.73922
236,0.4972410633058,1,6.8,17,85,320.231787048064,1688.1320894207,48234.7758533923,132859.558191716,399.11414,3.71349
242,1.18671056423199,2.9,10.99,17,72,256.004832399153,1022.87409249069,27705.1722081452,72842.5413009722,430.15346,3.80764
246,0.435995086624123,1.5,10.15,18,124,125.831206501634,669.209644359921,22483.484013293,60410.8739873869,411.08614,3.925
248,0.153606700175717,2.25,7,19,119,338.634737664439,1297.52174206918,22093.167444957,57981.0345685315,425.75953,3.75254
249,1.42014884272684,2.4,9.63,18,129,456.77772964121,2181.70015065448,54027.2422700556,135903.886653334,433.4637,3.69442
250,1.89012832297869,2.54545454545455,10.7181818181818,20,111,234.009415634142,1008.00281985896,20753.2682562188,55051.4219932849,425.38538,3.71721
252,5.92109430155845,2.57777777777778,9.92888888888889,18,94,197.861932741449,888.111371221003,19888.6115498634,54753.1529180707,431.50848,3.63899
255,2.34524447933613,3.5,16.15,18,58,121.833289706304,781.595850052503,32556.3403623126,91251.8485995823,456.06638,3.0032
256,0.465164334118442,2,16,18,107,485.579893923522,1716.58085185841,38715.7713079469,102875.878972169,439.39801,3.44313
261,9.2834749801715,2.5,26.3,18,24,109.606875890861,620.23025518026,31188.2466181697,88580.2710715736,417.87226,3.08766
262,0.710792894652208,2.2,8.06,19,72,527.800485157322,2248.18141088306,49436.0763495384,125760.021405055,397.44731,3.36933
263,1.73419691185733,2.08333333333333,11.7333333333333,18,69,222.868465071088,1670.18768173029,50451.3567402655,127502.14460474,397.99899,3.37085
265,6.14034101621168,3.14285714285714,19.2857142857143,17,34,20.6837487236862,163.485129815446,14120.4601878218,48190.5626169808,428.427,3.22902
268,0.417408935414374,3.33333333333333,9.2,18,34,213.64957244067,1045.16040945745,33848.4772205359,90161.8946119195,424.53364,3.09214
279,0.954771103336866,1.85714285714286,7.54285714285714,18,38,200.05895711557,566.57539487285,16845.9944422891,57852.779799988,477.34327,3.09155
282,0.366259552463345,1.83333333333333,7.33333333333333,17,109,345.201252924604,1701.90478946051,42167.7194916383,100272.862099638,453.48298,2.58422
283,1.73416951217482,2.63636363636364,9.48181818181818,17,89,465.169047276401,2254.46593187921,54981.5035947818,138399.203445456,462.34224,2.71208
284,0.241202356014722,2.25,7.4,18,81,33.2130211377222,245.257939108563,12247.5242640622,33579.3246072562,424.47165,3.30365
285,6.11343984505224,2.41025641025641,11.2897435897436,16,248,2797.3209941011,7867.88238454543,85491.1299105489,170834.938842087,467.96824,2.29435
286,10.3123044671692,2.8,14.248,17,167,1955.50478587798,5742.15102244616,71840.7826226299,155672.48171952,449.37477,2.88853
287,1.54084081480047,2.47619047619048,8.32380952380952,20,72,668.368138119881,2089.6049407373,40668.5603982035,102407.947097583,455.36954,2.81418
288,0.374092704683527,2.5,16.5,18,189,419.34457494484,1524.88856495469,34482.12878874,89603.2882490106,450.80005,2.66661
289,0.130786006508538,1.5,8.15,18,24,242.429533398618,1219.02686901362,40347.8589983983,112126.820639156,462.44814,2.71533
290,0.410730514533391,2,10.75,18,22,204.918244409537,1208.0341231283,40749.9796938226,112570.713483688,462.44814,2.71533
293,2.60140475342729,2.25,10.3875,18,32,1273.18305633137,3755.43144977485,50280.8651375987,126121.720778479,435.35916,2.71125
295,1.42198812074405,1.82608695652174,6.97826086956522,19,45,439.508495559045,2617.00631594475,108098.432730904,293216.359760358,498.82645,1.61558
297,2.20577041358468,2.94444444444444,11.0722222222222,19,48,578.331067771958,2209.25114701169,53130.4494390509,138677.326109576,445.80005,2.54734
299,2.817585817871,2.71052631578947,8.07631578947368,18,31,750.915360936865,2417.37338341351,35323.2426726883,86611.4224897199,430.06094,2.30508
301,0.844961614737189,2.07692307692308,8.61538461538461,18,28,116.983776460152,902.229500854793,40733.2236044525,109704.113058687,465.47962,2.20411
302,0.887850853949711,3,7.65714285714286,18,63,270.731353554691,990.875660687553,20065.9789273863,54708.8911341608,429.85989,2.9449
304,0.913137856873979,2.08333333333333,7.83333333333333,18,41,2759.87993216869,6497.44729785601,54830.2200075849,124418.320101699,479.67115,1.75457
305,9.90323638836201,2.39130434782609,13.2652173913043,18,39,1197.2116631718,4619.54851046338,54709.2694452225,120078.405507622,481.20068,1.62663
306,4.61998349510846,2.28571428571429,11.0357142857143,18,24,1832.20189761397,5449.55670807788,56389.8957914433,140045.567649784,476.9185,2.07157
307,3.09290271921833,1.47058823529412,9.26470588235294,18,86,580.461480830487,1953.35767191231,39109.6358172177,108338.741560427,463.26275,2.61105
308,0.761282740376185,2.1,8.04,18,19,966.803817428775,4860.45653435256,118263.743690926,287231.028699782,502.0683,1.54633
310,0.924806337400495,2.64705882352941,8.58823529411765,18,43,1075.82630387093,3280.008729848,64775.2940744352,180643.81749714,478.32423,1.86764
311,0.606017945262659,2.71428571428571,7.27142857142857,18,26,484.983621927659,2429.3227110453,55356.1082901708,154883.098798459,481.17563,1.87238
400,2.00184551922529,2,9.50833333333333,10,285,64.2008632090203,307.393262443361,9864.18695232683,29580.8938224923,417.71472,5.1033
402,0.544126610926354,1.66666666666667,8.53333333333333,10,47,105.093051372052,375.608128985267,10098.9744458328,30016.0672981448,417.71472,5.1033
404,5.38311729520101,2.22727272727273,8.89090909090909,10,355,187.842797544355,722.103811619426,15565.7229057944,38950.4317787299,425.97632,5.15381
406,5.04562783172931,0.17741935483871,7.75322580645161,10,171,626.41696513833,1721.755831454,17818.7122088212,39309.0245963175,423.36492,5.10379
417,3.71022097936937,1.23214285714286,8.48571428571429,10,152,211.862320229642,1064.13546643062,17969.6111958444,43799.6337859115,403.64989,4.82614
430,1.08553429638112,1.81818181818182,9.26363636363636,10,71,534.212883264634,1923.2568228576,42343.2781381023,108425.642786196,424.7453,4.02192
431,0.898583633058033,2,6.5,10,166,157.333433332552,820.548768101291,25773.5210631104,72359.8116472256,432.12017,3.89939
432,0.336773100131582,2,6.88333333333333,10,218,926.984461176846,2393.48735787627,26912.0529392889,70786.1047747757,432.86535,3.78142
433,20.7657678203747,1.13414634146341,10.1060975609756,10,80,413.813220160097,1038.97310403684,20353.4397006478,56153.7301722684,426.11727,3.85416
434,10.8808457258568,1.15492957746479,10.2535211267606,10,206,380.024357100112,1696.90068956656,35186.9158441886,85181.83015859,441.7195,3.6048
435,1.51218751530081,1.66666666666667,7.61666666666667,10,184,97.4071261828627,642.818524943886,24294.4032956171,68830.9857097134,435.50341,3.71846
436,4.23797144155303,2,11.1297297297297,10,310,273.132262457164,1243.78484233023,30595.3113426578,80530.1516917642,431.53918,4.05037
438,1.35545842074983,2,7.53157894736842,10,67,399.941139598184,1298.1914086054,21428.4467215197,51160.8898596667,417.81116,4.11743
439,4.97319851635553,2,8.35151515151515,10,88,177.413822043557,718.685256416469,18970.4269898884,57565.4141690431,430.91619,4.22564
441,3.42474064483089,2,13.63,10,73,1086.35676693842,3599.31715954882,49192.7594550533,119659.179730638,455.02383,3.36789
445,1.09457428480219,2,11.4,10,238,264.650015420599,975.066455343845,28183.1062129944,74481.3666635045,457.32306,3.15751
456,0.512923285365068,1.6,8.66,10,154,124.554955785589,825.448993418975,25352.8842146896,66492.1358415767,466.98091,3.05901
466,1.51402266780516,1.97368421052632,7.5078947368421,10,15,540.518700624169,2002.45754258965,51270.0920133741,140893.115607879,458.42813,2.08143
